Release  Id : 430	County Median Age
B01002001E001001              Estimate, Median Age by Sex, Total Population (5-year estimate) in Autauga County, AL                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046073              Estimate, Median Age by Sex, Total Population (5-year estimate) in Jerauld County, SD                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046075              Estimate, Median Age by Sex, Total Population (5-year estimate) in Jones County, SD                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046077              Estimate, Median Age by Sex, Total Population (5-year estimate) in Kingsbury County, SD                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046079              Estimate, Median Age by Sex, Total Population (5-year estimate) in Lake County, SD                                         NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046081              Estimate, Median Age by Sex, Total Population (5-year estimate) in Lawrence County, SD                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046083              Estimate, Median Age by Sex, Total Population (5-year estimate) in Lincoln County, SD                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046085              Estimate, Median Age by Sex, Total Population (5-year estimate) in Lyman County, SD                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046087              Estimate, Median Age by Sex, Total Population (5-year estimate) in McCook County, SD                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046089              Estimate, Median Age by Sex, Total Population (5-year estimate) in McPherson County, SD                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046091              Estimate, Median Age by Sex, Total Population (5-year estimate) in Marshall County, SD                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046093              Estimate, Median Age by Sex, Total Population (5-year estimate) in Meade County, SD                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046095              Estimate, Median Age by Sex, Total Population (5-year estimate) in Mellette County, SD                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046097              Estimate, Median Age by Sex, Total Population (5-year estimate) in Miner County, SD                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046099              Estimate, Median Age by Sex, Total Population (5-year estimate) in Minnehaha County, SD                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046101              Estimate, Median Age by Sex, Total Population (5-year estimate) in Moody County, SD                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046103              Estimate, Median Age by Sex, Total Population (5-year estimate) in Pennington County, SD                                   NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046105              Estimate, Median Age by Sex, Total Population (5-year estimate) in Perkins County, SD                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046107              Estimate, Median Age by Sex, Total Population (5-year estimate) in Potter County, SD                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046109              Estimate, Median Age by Sex, Total Population (5-year estimate) in Roberts County, SD                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046111              Estimate, Median Age by Sex, Total Population (5-year estimate) in Sanborn County, SD                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E046113              Estimate, Median Age by Sex, Total Population (5-year estimate) in Shannon County, SD (DISCONTINUED)                       NSA  18-May-2017 01-Jan-2014             Annual             
